7708382	る。
7372574	た。
5788887	して
5692972	てい
5251170	され
4893159	した
4392244	った
4250795	する
4157981	は、
4112019	ある
3880401	いる
3693267	であ
3329843	れた
3175315	から
2717986	って
2504510	こと
2491264	とし
2421572	り、
2394464	れて
2173193	し、
2137099	れる
2097457	いた
2066103	では
2009521	が、
1982667	には
1776061	によ
1668922	なっ
1659080	られ
1653432	とな
1577255	その
1475264	など
1384382	この
1376784	るこ
1369778	ない
1275046	ため
1191932	とい
1167224	で、
1165730	いて
1123672	より
1095726	て、
1089136	ると
1088318	れ、
1074218	たが
1045723	いう
1032397	よう
1029775	にな
1026326	あっ
1008400	また
978994	なる
967597	もの
966277	があ
935453	まで
906461	。こ
871765	、そ
871303	あり
793441	われ
752827	に、
725794	とも
708245	これ
694295	め、
677887	。そ
643633	にお
639919	かっ
627570	とが
627112	おり
621675	てお
611012	た、
604904	でき
598275	よる
595192	るが
593534	い。
589533	たと
585989	にあ
576541	、こ
568681	。ま
563439	ては
562630	と、
557643	それ
555434	での
554857	よっ
553929	うに
522532	なり
522437	とは
514069	でも
506614	との
503271	ので
497889	たこ
490643	なか
488484	もあ
482952	なく
477531	ける
471173	しか
468768	にも
464756	ーの
448106	とに
446429	はな
442789	につ
435134	つい
433927	けて
430619	らの
429398	だっ
426384	どの
426078	るた
421474	かし
416123	く、
410789	まれ
410243	おい
395498	への
395248	のた
384008	とを
377959	めた
374813	るよ
372705	させ
371590	めて
363389	う。
362981	たの
362470	える
359745	きる
355549	ての
351388	のよ
345768	めに
338764	ばれ
331614	たも
329645	ら、
328774	い、
316506	いな
316436	とす
313216	。し
311289	たた
311184	ても
310004	るの
307420	けた
303442	およ
299765	める
297748	のは
289548	うな
288327	ーは
283818	んで
283499	とで
276926	しい
276631	かけ
275685	きな
272354	るも
272249	よび
272154	とと
270838	んだ
269678	とさ
269658	えて
265962	も、
265439	ーを
264767	らに
264656	しな
264328	えら
263925	かれ
263867	くな
262654	にし
260367	らは
259814	ず、
258617	えた
256449	れば
253682	ーと
252628	たり
251841	きた
249906	のみ
249214	ーに
248780	き、
246995	たち
243447	なお
240792	のも
239937	いと
235079	れら
234310	さら
232084	れに
231363	うと
229880	せる
227635	らな
226931	おけ
226384	れは
225836	くの
225790	がで
225134	まっ
224224	ーが
219796	いっ
219757	なが
219379	しま
218255	つの
216379	のと
206447	れな
203692	れを
203486	のが
199426	けら
199212	めら
195219	にて
194766	だけ
194619	ーで
194346	もに
190644	はそ
190132	お、
190066	せた
189783	こう
189655	がら
188946	をし
188915	、ま
187972	りの
186631	なら
180287	はこ
179481	かつ
175796	にか
175677	す。
175180	か、
173788	とか
172526	のこ
172353	てき
171083	てし
171042	まり
169591	ただ
168302	のの
167957	うち
166889	かな
166385	ほか
165602	ば、
165461	りに
165213	いが
163148	うこ
163029	らず
162498	べて
161751	どを
159317	いく
159178	しく
158994	どが
158588	せて
158033	の、
156839	け、
155627	のう
155070	でい
153928	るな
152457	そし
151912	わせ
151869	え、
151809	とき
150863	や、
150555	ー、
149758	ころ
149574	だが
149509	わっ
149025	ど、
147519	る、
146831	めの
145609	ち、
144447	。な
144427	けで
144410	をも
143841	かに
143742	たは
138620	がな
138394	だ。
136382	いで
135841	いの
134085	れぞ
134008	ぞれ
133349	ほど
132610	わり
132422	がっ
131532	とこ
129766	もと
129344	つて
129084	のに
129043	すべ
127856	じて
126613	どに
124695	だし
123719	どで
123692	まま
123271	いに
123129	んど
122416	のあ
120864	たい
119561	ー。
119282	るか
118648	でに
118566	あた
118127	つか
117338	たる
117175	つけ
116065	いこ
115917	いは
114025	もな
113917	いら
113379	たし
112487	かの
111996	がい
111727	らか
110281	み、
109479	のほ
109306	りで
108716	だと
108568	を、
107554	いか
107078	そこ
106603	とん
105708	らし
105095	。た
103851	のを
103664	げた
102794	にと
102408	こで
102073	れが
101417	しば
101379	りも
101278	ほと
100059	ろう
99540	、あ
98782	く。
98686	、さ
98095	いわ
98014	もっ
97538	へと
97380	えば
97128	そう
96916	るい
96651	のま
96312	ちに
96243	ちの
96147	りを
95850	くは
94777	じた
93296	げる
92576	ここ
92530	わる
91249	たな
90727	もし
90516	にす
90341	たか
89557	つ。
89214	どう
88826	うし
88704	らも
88557	げら
88420	きく
87942	とっ
87868	りと
87793	すこ
86950	まる
86865	るま
86550	かり
86228	かい
85991	でな
85816	かか
85801	さん
85422	、と
85010	れま
84546	のだ
84365	をす
83168	じめ
82928	ずれ
82822	まう
82800	のか
82761	はあ
82478	のち
82300	いず
82220	、か
82046	はい
81569	なも
81270	、お
81158	。さ
80719	う、
80609	たら
79616	せ、
78543	はじ
78502	ひと
77536	きに
77363	わら
77339	つで
77228	、い
74676	けれ
73573	たっ
73552	れの
73032	かわ
72877	ほぼ
72383	るに
72243	さな
72171	いも
72078	がそ
71746	うが
71677	せん
71671	よく
71425	いを
71352	のな
71345	てく
71120	れも
70918	べき
70888	わた
70875	げて
70838	び、
70761	をつ
70414	ども
70196	じる
69566	てか
69024	とそ
68335	にそ
68253	ぶり
68207	いだ
68133	たに
67981	なさ
67869	もい
67497	やす
67480	みな
67270	らが
66848	みで
66248	わず
64951	るほ
64951	じら
64804	けの
64790	くと
64766	せず
64733	なけ
64310	っと
64263	にわ
64143	とう
63680	くこ
63475	どと
63269	にい
63247	きの
63010	けに
62607	よれ
62326	ごと
62160	んな
62063	みの
61831	さい
61712	ばし
61685	くつ
61549	はま
61512	じく
60865	っか
60510	なわ
60063	いま
59633	もう
59628	をは
59558	らく
59557	ます
58644	ばな
58514	かる
58286	りし
58273	しよ
57772	とつ
57720	ちら
57645	うか
57634	しょう
57607	くる
57282	つと
56834	なし
56755	けん
56552	がこ
56509	にま
56269	ちは
56262	なの
56110	ゆる
55587	ーし
55297	らと
55170	えな
55155	りが
54768	みに
54736	てら
54540	がる
54444	いい
54351	かと
54305	をと
54236	をか
54170	きて
53963	みを
53930	つつ
53715	にこ
53521	まし
53347	こし
53009	たま
52930	り。
52882	れず
52859	です
52254	とり
51795	がり
51725	うの
51616	ずに
51450	いし
51086	べる
50709	くし
50641	すぐ
50315	うた
50212	らい
50197	せら
50073	いよ
49931	のひ
49786	あま
49591	、す
49401	まだ
49292	まな
49152	まと
48666	くに
48529	かん
48464	こに
